[600] 03 May 21:14:32 # Warning: no config file specified, using the default config. In order to specify a config file use 'redis-server /path/to/redis.conf'
[600] 03 May 21:14:32 * Server started, Redis version 2.0.4
[600] 03 May 21:14:32 * The server is now ready to accept connections on port 6379
[600] 03 May 21:14:32 - 0 clients connected (0 slaves), 416544 bytes in use
[600] 03 May 21:14:37 - 0 clients connected (0 slaves), 416544 bytes in use
[600] 03 May 21:14:42 - 0 clients connected (0 slaves), 416544 bytes in use
[600] 03 May 21:14:47 - 0 clients connected (0 slaves), 416544 bytes in use
[600] 03 May 21:14:52 - 0 clients connected (0 slaves), 416544 bytes in use
[600] 03 May 21:14:57 - 0 clients connected (0 slaves), 416544 bytes in use
[600] 03 May 21:15:02 - 0 clients connected (0 slaves), 416544 bytes in use
[600] 03 May 21:15:07 - 0 clients connected (0 slaves), 416544 bytes in use
[600] 03 May 21:15:12 - 0 clients connected (0 slaves), 416544 bytes in use
[600] 03 May 21:15:17 - 0 clients connected (0 slaves), 416544 bytes in use
[600] 03 May 21:15:18 - Accepted 127.0.0.1:49332
[600] 03 May 21:15:22 - 1 clients connected (0 slaves), 417008 bytes in use
[600] 03 May 21:15:27 - 1 clients connected (0 slaves), 417008 bytes in use
[600] 03 May 21:15:32 - 1 clients connected (0 slaves), 417008 bytes in use
[600] 03 May 21:15:37 - 1 clients connected (0 slaves), 417008 bytes in use
[600] 03 May 21:15:42 - 1 clients connected (0 slaves), 417008 bytes in use
[600] 03 May 21:15:47 - 1 clients connected (0 slaves), 417008 bytes in use
[600] 03 May 21:15:52 - 1 clients connected (0 slaves), 417008 bytes in use
[600] 03 May 21:15:57 - 1 clients connected (0 slaves), 417008 bytes in use
[600] 03 May 21:15:59 - Client closed connection
[600] 03 May 21:16:02 - 0 clients connected (0 slaves), 416640 bytes in use
[600] 03 May 21:16:03 - Accepted 127.0.0.1:49341
[600] 03 May 21:16:07 - 1 clients connected (0 slaves), 417008 bytes in use
[600] 03 May 21:16:12 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:16:17 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:16:22 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:16:27 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:16:32 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:16:37 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:16:42 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:16:47 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:16:52 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:16:57 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:17:02 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:17:07 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:17:12 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:17:17 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:17:23 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:17:28 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:17:33 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:17:38 - 1 clients connected (0 slaves), 417040 bytes in use
